CodeMembre,Nom,Prenom,Rue,Ville,CodePostal,DateNaissance,Mail,Telephone,CompteTemps,habitantParc,nom_de_commerce,solde_ecu
43,Sharp,Juanita,9833 Mt. Dias Blv.,Burbank,48042,1997-05-16,NULL,962-555-1952,0,0,NULL,0
44,Brunner,Sandra,6202 Seeno St.,Bellflower,52673,1937-05-20,NULL,904-555-8788,0,0,NULL,0
45,Staton,Ernest,862 The Alameda,Renton,71706,1936-08-09,NULL,693-555-6852,0,0,NULL,0
46,Sims,Rose,7484 Roundtree Drive,Mill Valley,68791,1948-02-10,NULL,658-555-3316,0,0,NULL,0
47,De Carlo,Lauretta,5053 Loftus Road,Oak Bay,53986,1971-09-01,NULL,708-555-3666,0,0,NULL,0
48,Williams,Mary,1930 Almondwood Drive,Camacho,89939,1947-10-17,NULL,696-555-7759,0,0,NULL,0
49,Burke,Terri,9752 Jeanne Circle,Arcadia,41297,1950-12-02,NULL,770-555-6738,0,0,NULL,0
50,Osborn,Audrey,9539 Glenside Dr,Altadena,43412,1942-03-09,NULL,119-555-4116,0,0,NULL,0
51,Binai,Brian,7616 Honey Court,Oakland,33639,1975-05-02,NULL,216-555-1723,0,0,NULL,0
52,Lozada,Concepcion,7657 H St.,Tixapan,19185,1932-09-04,NULL,727-555-1388,0,0,NULL,0
53,Tays,Paul,5988 Red Leaf,Oak Bay,83595,1952-12-24,NULL,298-555-3541,0,0,NULL,0
54,Thorton,Cheryl,8938 West Hookston Road,Metchosin,18033,1981-09-24,NULL,832-555-1834,0,0,NULL,0
55,Dumin,Gary,181 Gainsborough Drive,Grossmont,39583,1944-02-08,NULL,313-555-9355,0,0,NULL,0
56,Chin,Pat,3385 Crestview Drive,Imperial Beach,39182,1955-11-21,NULL,871-555-6277,0,0,NULL,0
57,Lovell,Zach,6912 Laguna St.,San Andres,26893,1980-12-10,NULL,375-555-3427,0,0,NULL,0
58,Ratcliff,Dave,371 Ahneita Dr.,Oakland,65362,1976-04-04,NULL,294-555-2634,0,0,NULL,0
59,Moss,Elizabeth,4776 Kentucky Drive,Burnaby,70204,1962-06-01,NULL,721-555-7412,0,0,NULL,0
60,Anderson,Lori,1145 Paraiso Ct.,Langley,74834,1934-02-02,NULL,663-555-5248,0,0,NULL,0
61,Everson,Michael,3148 Rose Street,Tacoma,93868,1965-02-15,NULL,451-555-3312,0,0,NULL,0
62,Borden,Mary,2427 Notre Dame Ave.,Santa Monica,64660,1951-06-25,NULL,656-555-3434,0,0,NULL,0
63,Willson,Sue,7340 Green St.,Tlaxiaco,49856,1936-10-13,NULL,467-555-9127,0,0,NULL,0
64,Harris,Clayton,6872 Thornwood Dr.,Beaverton,85809,1952-08-13,NULL,814-555-9899,0,0,NULL,0
65,Contreras,Whitney,2040 Encino Drive,Metchosin,37167,1999-09-07,NULL,648-555-5221,0,0,NULL,0
66,Pusedu,Boyd,1826 Corte Del Sol,Metchosin,39282,1953-08-11,NULL,898-555-2599,0,0,NULL,0
67,Stedman,Cian,9903 East Leland,Westminster,55800,1948-07-01,NULL,994-555-9206,0,0,NULL,0
68,Zocchi,Michele,9943 Stonehedge Dr.,Hidalgo,24077,1937-07-27,NULL,606-555-8871,0,0,NULL,0
69,Walsh,Jean,931 Corte De Luna,Los Angeles,79465,1989-06-17,NULL,725-555-5106,0,0,NULL,0
70,Renfro,Leopoldo,1226 Shoenic,Coronado,13903,1992-03-26,NULL,360-555-3399,0,0,NULL,0
71,Brockett,Donna,2467 Clearland Circle,La Cruz,61745,1987-04-08,NULL,741-555-1921,0,0,NULL,0
72,Anderson,Laurie,5671 Bel Air Dr.,Shawnee,35052,1960-09-17,NULL,398-555-7842,0,0,NULL,0
73,Gomez,Louis,7166 Brock Lane,Yakima,49055,1945-02-28,NULL,802-555-4992,0,0,NULL,0
74,Walker,Julie,3281 Hillview Dr.,Ballard,87524,1985-04-03,NULL,722-555-4199,0,0,NULL,0
75,Jones,Jay,5030 Blue Ridge Dr.,Lynnwood,35227,1933-03-25,NULL,248-555-8978,0,0,NULL,0
76,Winfrey,Gayle,1399 Firestone Drive,Port Orchard,66150,1937-06-23,NULL,191-555-6813,0,0,NULL,0
77,Brown,Yasmina,6058 Hill Street,Downey,85184,1941-06-17,NULL,569-555-5452,0,0,NULL,0
78,Touchstone,Joseph,2681 Eagle Peak,Salem,55976,1960-06-24,NULL,774-555-5574,0,0,NULL,0
79,Bakhtyari,Mary,7594 Alexander Pl.,Tacoma,41172,1977-07-10,NULL,585-555-2267,0,0,NULL,0
80,Glass,Melvin,7126 Edie Ct.,Lemon Grove,77125,1966-04-18,NULL,812-555-1017,0,0,NULL,0
81,Cohen,Kristin,2294 West 39th St.,Milwaukie,28482,1964-10-25,NULL,646-555-5338,0,0,NULL,0
82,Kharman,Susan,2080 Sycamore Drive,Richmond,30597,1961-08-10,NULL,896-555-2717,0,0,NULL,0
83,Kirschner,Gordon,158 Walnut Ave,Arcadia,47116,1989-03-24,NULL,331-555-3981,0,0,NULL,0
84,Burger,William,2854 Magda Way,Haney,88099,1952-03-05,NULL,604-555-8988,0,0,NULL,0
85,Blau,Lana,1185 Dallis Drive,Novato,70780,1966-10-19,NULL,723-555-5224,0,0,NULL,0
86,Derby,Donna,8154 Via Mexico,Bremerton,52198,1931-03-25,NULL,358-555-3517,0,0,NULL,0
87,Thomson,Kathleen,6740 Jalisco,N. Vancouver,26768,1969-04-15,NULL,739-555-2038,0,0,NULL,0
88,Walton,Gabriel,2601 Cambridge Drive,Milwaukie,26367,1963-02-11,NULL,396-555-7960,0,0,NULL,0
89,Meastas,Bishop,4096 San Remo,Woodland Hills,14079,1994-10-06,NULL,912-555-7369,0,0,NULL,0
90,Kouba,Geneva,7554 Lakeview Pl.,Sooke,78839,1996-10-05,NULL,832-555-6577,0,0,NULL,0
91,Clark,Tricia,1960 Via Catanzaro,Long Beach,32712,1976-04-24,NULL,597-555-6013,0,0,NULL,0
92,Munn,Debi,5672 Hale Dr.,Arcadia,61730,1954-08-03,NULL,540-555-3848,0,0,NULL,0
93,Goldberg,Patricia,332 Laguna Niguel,Woodburn,80763,1990-03-22,NULL,989-555-7255,0,0,NULL,0
94,Magenheim,Susan,6954 Garcia Ranch Road,Vancouver,77848,1959-09-15,NULL,293-555-7377,0,0,NULL,0
95,Hance,Nancy,4523 Via Cortez,Tlaxiaco,63043,1950-09-09,NULL,471-555-9125,0,0,NULL,0
96,Mehlert,Rhonda,1400 Gibrix Drive,Beaverton,98996,1971-03-15,NULL,698-555-7875,0,0,NULL,0
97,Duran,Paula,9222 Roseann Drive,Richmond,50354,1943-08-03,NULL,532-555-3196,0,0,NULL,0
98,Earley,Margaret,9009 W 46th St,Richmond,52469,1972-03-12,NULL,121-555-4232,0,0,NULL,0
99,Horne,Elizabeth,7086 O St.,Port Orchard,42696,1954-04-09,NULL,217-555-1839,0,0,NULL,0
100,Hunt,Mary,7127 Morengo Court,San Jose,10972,1949-12-14,NULL,490-555-6846,0,0,NULL,0
101,Allen,Libby,5458 Encino Drive,N. Vancouver,92652,1995-04-26,NULL,848-555-6739,0,0,NULL,0
102,Bruno,Bonnie,8408 Via Del Sol,Langford,99797,1992-05-02,NULL,244-555-1375,0,0,NULL,0
103,Bowers,Angela,9650 Valley View Road,Acapulco,48640,1934-05-27,NULL,737-555-2156,0,0,NULL,0
104,Gonzales,Donald,2855 Playa,Hidalgo,48239,1972-03-04,NULL,394-555-8077,0,0,NULL,0
105,Valdez,Sylvester,4350 Mota Dr.,National City,35950,1953-05-12,NULL,137-555-8885,0,0,NULL,0
106,Stewart,John,7808 Brown St.,Long Beach,74419,1999-03-20,NULL,717-555-4435,0,0,NULL,0
107,Velasquez,Barney,2214 Solano,Cliffside,54584,1941-05-09,NULL,483-555-3870,0,0,NULL,0
108,Dubois,Kenneth,8582 San Jose Ave.,Shawnee,59214,1951-05-13,NULL,425-555-1706,0,0,NULL,0
109,Maestas,Kate,3241 Brock Lane,Newton,76633,1949-08-01,NULL,214-555-8770,0,0,NULL,0
110,Underwood,Josie,9863 Ridge Place,West Covina,47425,1962-02-03,NULL,179-555-5235,0,0,NULL,0
111,Strain,Ramon,4777 Rockne Drive,Palo Alto,32621,1985-10-21,NULL,890-555-1927,0,0,NULL,0
112,Azari,Pat,4310 Kenston Dr.,Santa Monica,68574,1968-11-24,NULL,217-555-9677,0,0,NULL,0
113,Dabit,Bob,9476 Hill Top Rd.,Sooke,19932,1984-05-20,NULL,291-555-8656,0,0,NULL,0
114,Carmona,Marty,9263 Mt. McKinley Ct.,Sooke,22047,1963-04-16,NULL,541-555-6035,0,0,NULL,0
115,Saxton,Gina,620 Woodside Ct.,Altadena,38565,1997-06-09,NULL,330-555-4138,0,0,NULL,0
116,McLaughlin,Juan,661 Miller Ave.,Burnaby,68422,1954-10-11,NULL,602-555-9145,0,0,NULL,0
117,Eyster,Carol,1648 Eastgate Lane,Albany,62230,1974-02-04,NULL,960-555-9038,0,0,NULL,0
118,Henry,Nancy,4598 Manila Avenue,Bremerton,95667,1933-10-04,NULL,356-555-3673,0,0,NULL,0
119,Barros,Chris,3183 Trasher Road,N. Vancouver,18218,1977-07-26,NULL,737-555-2195,0,0,NULL,0
120,Groome,Christopher,6387 Scenic Avenue,Milwaukie,17817,1977-01-28,NULL,634-555-2773,0,0,NULL,0
121,Hill,Anna,7883 Mitchell Canyon Court,Santa Monica,55288,1932-02-17,NULL,137-555-8923,0,0,NULL,0
122,Williams,Ramon,3997 Via De Luna,Walla Walla,70289,1940-09-22,NULL,718-555-4473,0,0,NULL,0
123,Masters,Scott,5747 Shirley Drive,Richmond,24162,1984-07-08,NULL,483-555-3909,0,0,NULL,0
124,Brady, Jr.,G.,,CA,999-555-4480,NULL,37,0,0,NULL,0
125,Gray,Ellen,6774 Bonanza,Bellflower,20209,1992-12-04,NULL,214-555-8809,0,0,NULL,0
126,Fielder,Henry,3397 Rancho View Drive,Ballard,90000,1967-02-03,NULL,179-555-5273,0,0,NULL,0
127,Finnell,Jeanine,8310 Ridge Circle,Everett,75196,1952-06-18,NULL,103-555-4226,0,0,NULL,0
128,Schuetz,Ian,7842 Ygnacio Valley Road,Salem,12150,1967-04-18,NULL,330-555-2976,0,0,NULL,0
129,Runyon,Richard,5666 Hazelnut Lane,Concord,62507,1945-05-11,NULL,403-555-1955,0,0,NULL,0
130,Potter,Linda,5452 Corte Gilberto,Concord,64622,1969-04-15,NULL,653-555-8333,0,0,NULL,0
131,Smith,Mary,874 Olivera Road,La Jolla,54848,1964-03-06,NULL,749-555-5940,0,0,NULL,0
132,Brumagen,Barbara,3570 Court Lane,Cliffside,23125,1953-03-05,NULL,122-555-1947,0,0,NULL,0
133,Hamilton,Thelma,1902 Santa Cruz,Burbank,58058,1935-02-22,NULL,480-555-1840,0,0,NULL,0
134,J Wilbert,Shirley,4852 Chaparral Court,Spokane,39243,1938-10-04,NULL,115-555-9133,0,0,NULL,0
135,Ingram,Jeremy,6093 Midway Ct.,Tixapan,60792,1944-03-23,NULL,257-555-3997,0,0,NULL,0
136,Haddix,Sharon,9297 Kenston Dr.,Lynnwood,60392,1976-05-22,NULL,153-555-4576,0,0,NULL,0
137,Thomas,Leland,793 Crawford Street,Newport Beach,48103,1963-03-08,NULL,557-555-1726,0,0,NULL,0
138,Wilson,Don,4251 San Onofre Court,Oak Bay,13864,1945-09-22,NULL,238-555-6276,0,0,NULL,0
139,Stovall,Wayne,8656 Lakespring Place,Coronado,66736,1951-04-05,NULL,593-555-6287,0,0,NULL,0
140,Russell,Douglas,5025 Holiday Hills,La Mesa,71367,1967-11-14,NULL,536-555-4122,0,0,NULL,0
141,Doose,Maureen,7028 San Gabriel Dr.,Santa Anita,90401,1959-07-24,NULL,324-555-2187,0,0,NULL,0
142,Morreale,Ann,6307 Grenadine Way,Renton,84255,1978-07-05,NULL,289-555-7651,0,0,NULL,0
143,Rupert,Sheila,1220 Bradford Way,Glendale,69451,1995-08-17,NULL,101-555-4344,0,0,NULL,0
144,Pierson,Ashley,1999 Orangewood Court,Westminster,32697,1984-06-25,NULL,328-555-3094,0,0,NULL,0
145,Nickels,Ivan,9821 Juniper Drive,Victoria,56762,1994-03-16,NULL,401-555-2072,0,0,NULL,0
146,Neuhauser,Chad,9608 Grammercy Lane,Victoria,58876,1980-10-17,NULL,651-555-8451,0,0,NULL,0
147,Coke,Ann,7685 Imperial Dr,Sooke,75395,1937-05-05,NULL,747-555-6058,0,0,NULL,0
148,Scarbrough,Jon,7726 Driftwood Drive,Kirkland,43672,1970-04-12,NULL,120-555-2065,0,0,NULL,0
149,Martensen,Lillian,8713 Yosemite Ct.,Chula Vista,26352,1984-11-27,NULL,478-555-1958,0,0,NULL,0
150,McCormick,Mary,9008 Creekside Drive,Seattle,33498,1949-05-06,NULL,113-555-9251,0,0,NULL,0
151,Sparacino,James,250 Geary Ct.,San Jose,81339,1979-04-08,NULL,606-555-1032,0,0,NULL,0
152,Racette,John,3454 D Bel Air Drive,Ballard,54647,1973-03-04,NULL,263-555-6954,0,0,NULL,0
153,Thompson,Edwardo,4949 Dutch Slough Rd,Guadalajara,68650,1934-11-26,NULL,667-555-4104,0,0,NULL,0
154,Warren,Sam,1064 Slavio,Lebanon,81192,1936-10-25,NULL,587-555-3311,0,0,NULL,0
155,Chow-Wang,Shelby,2813 Dew Drop Circle,Port Hammond,60991,1986-05-17,NULL,113-555-8089,0,0,NULL,0
156,Wood,Nelly,9181 La Vista Circle,Sooke,91914,1964-08-23,NULL,956-555-5925,0,0,NULL,0
157,Morgan,Jackie,3841 Silver Oaks Place,La Mesa,11949,1930-04-15,NULL,744-555-3989,0,0,NULL,0
158,Boje,Gavin,463 H Stagecoach Rd.,Tacoma,81740,1981-12-19,NULL,709-555-9453,0,0,NULL,0
159,Tsujimoto,Marlene,5376 Catanzaro Way,Milwaukie,12447,1960-09-02,NULL,760-555-9804,0,0,NULL,0
160,Bouton,RitaIva,4909 Poco Lane,Renton,48400,1981-03-08,NULL,748-555-4896,0,0,NULL,0
161,Gras,Dell,77 Birchwood,Grossmont,98756,1953-08-23,NULL,821-555-3875,0,0,NULL,0
162,Solano,Christopher,9862 Ahneita Dr.,Ladner,18729,1983-03-05,NULL,171-555-1254,0,0,NULL,0
163,Armstrong,George,7939 Bayview Court,Los Angeles,18391,1972-06-17,NULL,267-555-7861,0,0,NULL,0
164,Aldred,Kristine,636 Vine Hill Way,Coronado,85666,1967-02-22,NULL,466-555-8179,0,0,NULL,0
165,Jorgenson,Tom,8967 Hamilton Ave.,Milwaukie,42055,1955-08-17,NULL,585-555-4415,0,0,NULL,0
166,Turner,Dana,1918 Terra Granada,Oak Bay,75493,1952-09-20,NULL,220-555-2708,0,0,NULL,0
167,Zakerski,Terry,504 O St.,Lemon Grove,97042,1952-06-07,NULL,601-555-1229,0,0,NULL,0
168,Carlson,David,3708 Montana,Walla Walla,96641,1983-07-24,NULL,259-555-7150,0,0,NULL,0
169,Symons,Linda,5203 Virginia Lane,Lebanon,84353,1976-12-16,NULL,662-555-4300,0,0,NULL,0
170,Reynolds,Louis,1318 Lasalle Street,Los Angeles,50114,1940-07-13,NULL,582-555-3508,0,0,NULL,0
171,Ibsen,Maureen,3067 Maya,Downey,39870,1952-10-02,NULL,108-555-8286,0,0,NULL,0
172,Ciochon,Virginia,9435 Breck Court,West Covina,86178,1962-10-05,NULL,951-555-6122,0,0,NULL,0
173,Berger,Steve,4095 Cooper Dr.,Bellingham,27651,1960-02-21,NULL,739-555-4186,0,0,NULL,0
174,Bayol,James,5242 Marvelle Ln.,San Carlos,24735,1973-06-23,NULL,704-555-9650,0,0,NULL,0
175,Thumann,Meredith,2812 East Lake Court,Metchosin,99312,1996-03-14,NULL,755-555-1000,0,0,NULL,0
176,Jones,Julie,9687 Shakespeare Drive,Concord,44269,1980-05-16,NULL,855-555-7353,0,0,NULL,0
177,Bury,Janet,7511 Cooper Dr.,Corvallis,94626,1995-09-13,NULL,928-555-6332,0,0,NULL,0
178,Bevan,Onita,7297 Rosalinda,Woodburn,96741,1987-12-19,NULL,278-555-3710,0,0,NULL,0
179,Monarco,Mary,5375 Clearland Circle,Lakewood,86967,1938-11-01,NULL,374-555-1317,0,0,NULL,0
180,Zingarelli,Vicky,5415 San Gabriel Dr.,Seattle,55244,1965-03-03,NULL,886-555-9982,0,0,NULL,0
181,Valentine,Helen,3747 Likins Avenue,Bremerton,37925,1985-06-23,NULL,105-555-6217,0,0,NULL,0
182,Scheulen,Carol,6697 Ridge Park Drive,Everett,71362,1944-03-24,NULL,640-555-4510,0,0,NULL,0
183,Koon,Virgie,7938 Blue Ridge,Langford,92912,1989-11-19,NULL,121-555-3032,0,0,NULL,0
184,Amole,Sarah,1143 Julpum Loop,Oak Bay,92511,1988-05-20,NULL,678-555-8953,0,0,NULL,0
185,Hill,Cecil,2639 Anchor Court,Edmonds,80222,1943-07-10,NULL,182-555-6103,0,0,NULL,0
186,Tate,Ruth,6097 Mt. McKinley Ct.,Imperial Beach,19692,1951-02-15,NULL,102-555-5310,0,0,NULL,0
187,Schnurr,Larry,502 Alexander Pl.,Woodburn,98856,1995-12-01,NULL,528-555-1089,0,0,NULL,0
188,Sutton,Jerry,6870 D Bel Air Drive,Albany,44872,1979-11-13,NULL,836-555-3980,0,0,NULL,0
189,Mlincek,Kevin,8874 Folson Drive,Metchosin,23521,1939-11-26,NULL,625-555-2044,0,0,NULL,0
190,Tucker,Edward,8152 Claudia Dr.,Corvallis,93312,1984-12-25,NULL,829-555-2166,0,0,NULL,0
191,Forham,Kenton,3066 Wallace Dr.,Arcadia,78508,1969-05-13,NULL,641-555-7858,0,0,NULL,0
192,Malik,Brittany,2598 La Vista Circle,Spokane,15462,1997-06-24,NULL,868-555-6608,0,0,NULL,0
193,Eldridge,Jeannette,7765 Sunsine Drive,Los Angeles,11910,1962-04-07,NULL,702-555-1930,0,0,NULL,0
194,Anderson,Terry,7551 Santa Lucia,Mexico City,14025,1990-05-07,NULL,952-555-8308,0,0,NULL,0
195,Sosa,Loni,5629 San Francisco,N. Vancouver,30543,1985-04-24,NULL,148-555-5915,0,0,NULL,0
196,Mann,Marie,5669 Ironwood Way,Daly City,97819,1986-07-08,NULL,660-555-5580,0,0,NULL,0
197,Prater,Michael,6657 Camino Solano,National City,54207,1968-06-25,NULL,779-555-1815,0,0,NULL,0
198,Ansaldo,Karen,6951 Harmony Way,Imperial Beach,87645,1959-11-22,NULL,413-555-9108,0,0,NULL,0
199,Caijem,Lance,8192 Seagull Court,Richmond,36487,1966-04-15,NULL,794-555-7630,0,0,NULL,0
200,Yates,Pamela,1397 Paraiso Ct.,Los Angeles,97953,1997-06-13,NULL,564-555-6811,0,0,NULL,0
201,Turner,Iwona,2893 Vera,Santa Fe,23798,1996-07-11,NULL,968-555-3961,0,0,NULL,0
202,Fulcher,Mary,9006 Woodside Way,Santa Cruz,62266,1966-09-13,NULL,887-555-3168,0,0,NULL,0
203,Berg,Raymond,757 Pine Creek Way,Newton,16139,1972-04-24,NULL,414-555-7947,0,0,NULL,0
204,Lopez,Ramona,8370 Acardia Pl.,N. Vancouver,47062,1988-11-06,NULL,356-555-5782,0,0,NULL,0
205,Valdivia,Helen,3030 Blackburn Ct.,San Diego,66096,1980-08-16,NULL,145-555-3847,0,0,NULL,0
206,Cardoza,Beverly,9652 Los Angeles,Sedro Woolley,36888,1999-08-23,NULL,349-555-3968,0,0,NULL,0
207,Hall,Mary,4566 La Jolla,La Jolla,22084,1958-12-20,NULL,160-555-9661,0,0,NULL,0
208,Minarick,Rachel,4098 Woodcrest Dr.,Woodburn,58037,1936-06-17,NULL,387-555-8411,0,0,NULL,0
209,Los Olmos,Dorine,9265 La Paz,Imperial Beach,93945,1945-04-08,NULL,222-555-3732,0,0,NULL,0
210,Garner,Dave,9052 Montgomery Avenue,Burnaby,84216,1931-10-09,NULL,472-555-1111,0,0,NULL,0
211,Leong,Lois,7129 Oakmead,Santa Anita,17364,1958-05-24,NULL,807-555-2375,0,0,NULL,0
212,Tate,Larasa,9825 Coralie Drive,Novato,42719,1991-05-04,NULL,770-555-7957,0,0,NULL,0
213,Watson,David,8157 W. Buchanan,Woodland Hills,25400,1935-12-19,NULL,889-555-4193,0,0,NULL,0
214,Frank,James,1108 Catcus Court,Ladner,58838,1970-05-24,NULL,523-555-2486,0,0,NULL,0
215,Wood,Alfredo,9693 Mellowood Street,National City,80387,1939-06-14,NULL,904-555-1007,0,0,NULL,0
216,Baird,Dorothy,5553 Kahrs Avenue,Olympia,79986,1944-07-21,NULL,562-555-6929,0,0,NULL,0
217,Jans,George,7048 Laurel,Woodburn,67698,1945-04-18,NULL,966-555-4079,0,0,NULL,0
218,Garrison,Bernadine,507 Sahara Drive,Santa Anita,33459,1959-06-02,NULL,885-555-3286,0,0,NULL,0
219,Zeller,Sam,4912 La Vuelta,Bellflower,86331,1997-09-10,NULL,651-555-2722,0,0,NULL,0
220,Ace,Dorothy,8624 Pepperidge Way,Torrance,90961,1975-01-16,NULL,593-555-9557,0,0,NULL,0
221,Trujillo,Adria,3284 S. Bascom Avenue,Lynnwood,10996,1942-08-08,NULL,143-555-3964,0,0,NULL,0
222,McCown,Bunny,9906 Oak Grove Road,Lemon Grove,80803,1992-05-12,NULL,347-555-4086,0,0,NULL,0
223,Miller,Nancy,7476 Halfmoon Court,Sooke,92275,1983-05-06,NULL,158-555-9779,0,0,NULL,0
224,Hollar,Wanda,4352 Olive Ave.,La Cruz,29229,1993-08-27,NULL,385-555-8529,0,0,NULL,0
225,Wallin,Barbara,2176 Apollo Way,Beaverton,79586,1976-05-26,NULL,334-555-6031,0,0,NULL,0
226,Bruha,Michael,1962 Cunha Ct.,W. Linn,27502,1994-08-25,NULL,823-555-7067,0,0,NULL,0
227,Suggs,Michael,40 Ellis St.,Burbank,17728,1983-10-10,NULL,919-555-4674,0,0,NULL,0
228,Turner,Kenneth,80 Sunview Terrace,El Cajon,85004,1978-06-14,NULL,292-555-9681,0,0,NULL,0
229,Griffin,Lois,8411 Mt. Olivet Place,Renton,67685,1966-02-10,NULL,650-555-9574,0,0,NULL,0
230,Guardamondo,Robert,1362 Somerset Place,Bellingham,74830,1963-02-13,NULL,946-555-4209,0,0,NULL,0
231,West,Bryan,2603 Condor Place,Oak Bay,23672,1964-10-27,NULL,427-555-2731,0,0,NULL,0
232,Welsh,Vicki,P.O. Box 1742,Ladner,23272,1931-08-04,NULL,984-555-8652,0,0,NULL,0
233,McCollum,Harvey,3238 Laguna Circle,Sedro Woolley,10983,1994-02-23,NULL,727-555-9460,0,0,NULL,0
